sample_id,scenario_id,heading_deg,label,p
false_safe_input_rot2_forward_0_2,false_safe_input,90,1,0.95
false_safe_input_rot2_forward_1_0,false_safe_input,90,1,0.95
false_safe_input_rot2_reverse_0_0,false_safe_input,270,1,0.95
false_safe_input_rot2_reverse_0_1,false_safe_input,270,0,0.95
false_safe_input_rot2_reverse_0_2,false_safe_input,270,1,0.95
false_safe_input_rot2_reverse_1_0,false_safe_input,270,1,0.95
false_safe_input_rot3_forward_0_0,false_safe_input,135,1,0.95
false_safe_input_rot3_forward_0_1,false_safe_input,135,0,0.95
false_safe_input_rot3_forward_0_2,false_safe_input,135,1,0.95
false_safe_input_rot3_forward_1_0,false_safe_input,135,1,0.95
false_safe_input_rot3_reverse_0_0,false_safe_input,315,1,0.95
false_safe_input_rot3_reverse_0_1,false_safe_input,315,0,0.95
false_safe_input_rot3_reverse_0_2,false_safe_input,315,1,0.95
false_safe_input_rot3_reverse_1_0,false_safe_input,315,1,0.95
false_safe_input_rot4_forward_0_0,false_safe_input,180,1,0.95
false_safe_input_rot4_forward_0_1,false_safe_input,180,0,0.95
false_safe_input_rot4_forward_0_2,false_safe_input,180,1,0.95
false_safe_input_rot4_forward_1_0,false_safe_input,180,1,0.95
false_safe_input_rot4_reverse_0_0,false_safe_input,0,1,0.95
false_safe_input_rot4_reverse_0_1,false_safe_input,0,0,0.95
false_safe_input_rot4_reverse_0_2,false_safe_input,0,1,0.95
false_safe_input_rot4_reverse_1_0,false_safe_input,0,1,0.95
false_safe_input_rot5_forward_0_0,false_safe_input,225,1,0.95
false_safe_input_rot5_forward_0_1,false_safe_input,225,0,0.95
false_safe_input_rot5_forward_0_2,false_safe_input,225,1,0.95
false_safe_input_rot5_forward_1_0,false_safe_input,225,1,0.95
false_safe_input_rot5_reverse_0_0,false_safe_input,45,1,0.95
false_safe_input_rot5_reverse_0_1,false_safe_input,45,0,0.95
false_safe_input_rot5_reverse_0_2,false_safe_input,45,1,0.95
false_safe_input_rot5_reverse_1_0,false_safe_input,45,1,0.95
false_safe_input_rot6_forward_0_0,false_safe_input,270,1,0.95
false_safe_input_rot6_forward_0_1,false_safe_input,270,0,0.95
false_safe_input_rot6_forward_0_2,false_safe_input,270,1,0.95
false_safe_input_rot6_forward_1_0,false_safe_input,270,1,0.95
false_safe_input_rot6_reverse_0_0,false_safe_input,90,1,0.95
false_safe_input_rot6_reverse_0_1,false_safe_input,90,0,0.95
false_safe_input_rot6_reverse_0_2,false_safe_input,90,1,0.95
false_safe_input_rot6_reverse_1_0,false_safe_input,90,1,0.95
false_safe_input_rot7_forward_0_0,false_safe_input,315,1,0.95
false_safe_input_rot7_forward_0_1,false_safe_input,315,0,0.95
false_safe_input_rot7_forward_0_2,false_safe_input,315,1,0.95
false_safe_input_rot7_forward_1_0,false_safe_input,315,1,0.95
false_safe_input_rot7_reverse_0_0,false_safe_input,135,1,0.95
false_safe_input_rot7_reverse_0_1,false_safe_input,135,0,0.95
false_safe_input_rot7_reverse_0_2,false_safe_input,135,1,0.95
false_safe_input_rot7_reverse_1_0,false_safe_input,135,1,0.95
false_alarm_input_rot0_forward_0_0,false_alarm_input,0,1,0.95
false_alarm_input_rot0_forward_0_1,false_alarm_input,0,1,0.03
false_alarm_input_rot0_forward_0_2,false_alarm_input,0,1,0.95
false_alarm_input_rot0_forward_1_0,false_alarm_input,0,1,0.95
false_alarm_input_rot0_reverse_0_0,false_alarm_input,180,1,0.95
false_alarm_input_rot0_reverse_0_1,false_alarm_input,180,1,0.03
false_alarm_input_rot0_reverse_0_2,false_alarm_input,180,1,0.95
false_alarm_input_rot0_reverse_1_0,false_alarm_input,180,1,0.95
false_alarm_input_rot1_forward_0_0,false_alarm_input,45,1,0.95
false_alarm_input_rot1_forward_0_1,false_alarm_input,45,1,0.03
false_alarm_input_rot1_forward_0_2,false_alarm_input,45,1,0.95
false_alarm_input_rot1_forward_1_0,false_alarm_input,45,1,0.95
false_alarm_input_rot1_reverse_0_0,false_alarm_input,225,1,0.95
false_alarm_input_rot1_reverse_0_1,false_alarm_input,225,1,0.03
false_alarm_input_rot1_reverse_0_2,false_alarm_input,225,1,0.95
false_alarm_input_rot1_reverse_1_0,false_alarm_input,225,1,0.95
false_alarm_input_rot2_forward_0_0,false_alarm_input,90,1,0.95
false_alarm_input_rot2_forward_0_1,false_alarm_input,90,1,0.03
false_alarm_input_rot2_forward_0_2,false_alarm_input,90,1,0.95
false_alarm_input_rot2_forward_1_0,false_alarm_input,90,1,0.95
false_alarm_input_rot2_reverse_0_0,false_alarm_input,270,1,0.95
false_alarm_input_rot2_reverse_0_1,false_alarm_input,270,1,0.03
false_alarm_input_rot2_reverse_0_2,false_alarm_input,270,1,0.95
false_alarm_input_rot2_reverse_1_0,false_alarm_input,270,1,0.95
false_alarm_input_rot3_forward_0_0,false_alarm_input,135,1,0.95
false_alarm_input_rot3_forward_0_1,false_alarm_input,135,1,0.03
false_alarm_input_rot3_forward_0_2,false_alarm_input,135,1,0.95
false_alarm_input_rot3_forward_1_0,false_alarm_input,135,1,0.95
false_alarm_input_rot3_reverse_0_0,false_alarm_input,315,1,0.95
false_alarm_input_rot3_reverse_0_1,false_alarm_input,315,1,0.03
false_alarm_input_rot3_reverse_0_2,false_alarm_input,315,1,0.95
false_alarm_input_rot3_reverse_1_0,false_alarm_input,315,1,0.95
false_alarm_input_rot4_forward_0_0,false_alarm_input,180,1,0.95
false_alarm_input_rot4_forward_0_1,false_alarm_input,180,1,0.03
false_alarm_input_rot4_forward_0_2,false_alarm_input,180,1,0.95
false_alarm_input_rot4_forward_1_0,false_alarm_input,180,1,0.95
false_alarm_input_rot4_reverse_0_0,false_alarm_input,0,1,0.95
false_alarm_input_rot4_reverse_0_1,false_alarm_input,0,1,0.03
false_alarm_input_rot4_reverse_0_2,false_alarm_input,0,1,0.95
false_alarm_input_rot4_reverse_1_0,false_alarm_input,0,1,0.95
false_alarm_input_rot5_forward_0_0,false_alarm_input,225,1,0.95
false_alarm_input_rot5_forward_0_1,false_alarm_input,225,1,0.03
false_alarm_input_rot5_forward_0_2,false_alarm_input,225,1,0.95
false_alarm_input_rot5_forward_1_0,false_alarm_input,225,1,0.95
false_alarm_input_rot5_reverse_0_0,false_alarm_input,45,1,0.95
false_alarm_input_rot5_reverse_0_1,false_alarm_input,45,1,0.03
false_alarm_input_rot5_reverse_0_2,false_alarm_input,45,1,0.95
false_alarm_input_rot5_reverse_1_0,false_alarm_input,45,1,0.95
false_alarm_input_rot6_forward_0_0,false_alarm_input,270,1,0.95
false_alarm_input_rot6_forward_0_1,false_alarm_input,270,1,0.03
false_alarm_input_rot6_forward_0_2,false_alarm_input,270,1,0.95
false_alarm_input_rot6_forward_1_0,false_alarm_input,270,1,0.95
false_alarm_input_rot6_reverse_0_0,false_alarm_input,90,1,0.95
false_alarm_input_rot6_reverse_0_1,false_alarm_input,90,1,0.03
false_alarm_input_rot6_reverse_0_2,false_alarm_input,90,1,0.95
false_alarm_input_rot6_reverse_1_0,false_alarm_input,90,1,0.95
false_alarm_input_rot7_forward_0_0,false_alarm_input,315,1,0.95
false_alarm_input_rot7_forward_0_1,false_alarm_input,315,1,0.03
false_alarm_input_rot7_forward_0_2,false_alarm_input,315,1,0.95
false_alarm_input_rot7_forward_1_0,false_alarm_input,315,1,0.95
false_alarm_input_rot7_reverse_0_0,false_alarm_input,135,1,0.95
false_alarm_input_rot7_reverse_0_1,false_alarm_input,135,1,0.03
false_alarm_input_rot7_reverse_0_2,false_alarm_input,135,1,0.95
false_alarm_input_rot7_reverse_1_0,false_alarm_input,135,1,0.95
